# {"t_start": 1554320224.543334, "env_id": "KangarooNoFrameskip-v4"} 
r,l,t
0.0,343,5.395462
0.0,625,7.643969
0.0,429,8.978929
0.0,563,10.620518
0.0,291,11.453722
0.0,730,13.813097
0.0,443,15.416505
0.0,539,17.32117
0.0,369,18.524088
0.0,518,20.111777
0.0,296,20.991815
0.0,490,22.695873
0.0,464,24.506672
200.0,608,26.909194
0.0,720,29.536166
200.0,465,31.558754
0.0,556,33.462661
0.0,541,35.212978
0.0,609,37.642987
0.0,420,39.363407
0.0,281,41.379615
0.0,663,48.197322
0.0,350,51.472909
0.0,471,56.239405
0.0,474,61.372734
0.0,404,65.560988
0.0,352,69.070488
0.0,494,73.653606
0.0,414,77.618335
0.0,662,84.045508
0.0,406,87.843212
0.0,551,93.247068
0.0,407,97.014935
0.0,493,101.689388
200.0,551,107.685709
0.0,534,113.153044
0.0,343,116.484133
0.0,608,122.160522
0.0,411,126.19074
0.0,427,131.032574
200.0,601,137.439885
0.0,363,140.922556
0.0,488,145.600302
0.0,667,151.928765
0.0,480,156.509071
0.0,661,162.77491
0.0,479,167.288398
0.0,600,173.578507
0.0,668,179.983036
0.0,281,182.676995
0.0,538,187.929809
0.0,345,191.2643
0.0,549,196.781821
0.0,664,203.548327
0.0,500,208.413385
0.0,475,213.254398
0.0,311,216.168513
0.0,408,219.98866
0.0,563,225.280385
200.0,552,230.850389
0.0,283,233.535876
0.0,487,238.343272
0.0,467,242.765557
0.0,547,248.241333
200.0,405,252.306455
0.0,603,258.490694
0.0,428,263.015204
0.0,293,265.983827
200.0,611,272.351494
0.0,482,277.345335
0.0,543,282.830822
200.0,533,288.078856
0.0,533,293.319578
0.0,314,296.333763
200.0,604,302.243074
200.0,667,308.696284
0.0,554,314.069923
0.0,277,316.723908
0.0,460,321.206601
0.0,479,325.864508
0.0,553,331.203908
0.0,608,337.130151
0.0,474,341.67752
0.0,407,345.553079
0.0,487,350.200773
0.0,544,355.450804
0.0,533,360.555532
0.0,348,363.861993
0.0,464,368.393179
0.0,622,374.436473
0.0,665,380.886041
0.0,485,385.555188
0.0,406,389.475139
200.0,422,393.584938
0.0,531,398.759717
0.0,409,402.726808
0.0,374,406.306004
200.0,509,411.193803
200.0,343,414.527482
0.0,467,418.924862
0.0,481,423.526291
0.0,378,427.07445
200.0,341,430.263919
0.0,367,433.730126
0.0,416,437.644405
0.0,482,442.281329
0.0,399,446.07613
0.0,673,452.578928
0.0,559,457.926775
400.0,538,463.140508
0.0,339,466.410816
0.0,354,469.839977
0.0,413,473.88633
0.0,539,479.146927
0.0,539,484.654521
0.0,375,488.433801
0.0,479,493.032694
0.0,529,498.152564
200.0,566,503.594233
0.0,433,508.122595
400.0,618,514.576194
0.0,545,520.259028
0.0,658,527.282363
0.0,547,532.671632
0.0,499,537.502593
200.0,746,544.863204
0.0,407,548.843816
200.0,475,553.392471
0.0,596,559.249594
0.0,415,563.238702
0.0,535,568.329509
0.0,414,572.258679
0.0,534,577.384747
400.0,487,581.954265
0.0,504,586.707412
200.0,658,592.987982
0.0,285,595.689095
0.0,351,598.990912
0.0,292,601.694074
0.0,356,605.067026
0.0,474,609.573483
0.0,471,614.051987
200.0,542,619.264126
0.0,676,625.759912
200.0,415,629.684374
0.0,659,635.979327
200.0,608,641.763563
0.0,425,645.744413
200.0,661,652.058
0.0,293,654.834344
0.0,483,659.698103
0.0,496,665.021028
0.0,663,671.478768
0.0,489,676.12949
0.0,426,680.283843
0.0,537,685.770947
0.0,544,691.37152
0.0,477,696.29754
0.0,677,702.840849
0.0,417,706.80946
0.0,410,710.790239
0.0,381,714.432832
0.0,386,718.11621
0.0,474,722.687141
200.0,598,728.43923
0.0,531,733.540455
0.0,286,736.294102
0.0,405,740.173569
0.0,418,744.136923
200.0,413,748.099663
0.0,601,753.864371
200.0,670,760.377722
0.0,548,765.699975
0.0,413,769.706418
0.0,465,774.170279
0.0,367,777.695898
0.0,440,781.977012
0.0,540,787.162788
0.0,428,791.243962
0.0,547,796.466819
200.0,739,803.626739
0.0,527,808.702748
0.0,426,813.12081
0.0,533,818.433827
200.0,664,824.782532
0.0,408,828.629616
400.0,670,835.024998
0.0,407,838.886847
0.0,479,843.45041
0.0,410,847.310409
0.0,481,852.250569
0.0,346,855.738025
200.0,566,861.712367
0.0,432,865.965207
400.0,475,870.885192
200.0,601,876.965543
0.0,491,882.250818
0.0,480,887.119912
200.0,596,892.891749
0.0,663,899.364875
0.0,733,906.469854
0.0,286,909.318942
0.0,605,915.648224
0.0,466,920.259591
200.0,410,924.997926
0.0,278,927.936373
0.0,473,933.119291
0.0,469,938.178622
0.0,470,943.264913
0.0,614,949.819936
200.0,418,954.167699
0.0,410,958.431245
0.0,548,963.651634
0.0,354,967.033653
0.0,402,970.890203
200.0,545,976.08423
0.0,280,978.739051
0.0,410,982.683692
0.0,357,986.093659
0.0,612,991.984725
0.0,464,996.45768
0.0,542,1001.645911
0.0,533,1006.738745
0.0,461,1011.097917
0.0,560,1016.464488
0.0,421,1020.448436
200.0,501,1025.23722
0.0,554,1030.600025
0.0,601,1036.439488
0.0,469,1040.918471
0.0,406,1044.766067
0.0,479,1049.375403
0.0,619,1055.261827
0.0,598,1061.277553
200.0,530,1066.257646
0.0,592,1071.844777
0.0,458,1076.193008
0.0,282,1078.915031
0.0,533,1083.998378
0.0,556,1089.251444
0.0,484,1093.816531
0.0,373,1097.321906
0.0,532,1102.342134
0.0,346,1105.577716
0.0,407,1109.417063
0.0,545,1114.562142
0.0,493,1119.2258
0.0,402,1123.016458
200.0,466,1127.506101
200.0,412,1131.380206
0.0,415,1135.288924
0.0,284,1137.953892
0.0,491,1142.618612
200.0,467,1147.086043
0.0,285,1149.758313
0.0,469,1154.261895
0.0,437,1158.440674
200.0,795,1166.099053
0.0,443,1170.338998
200.0,539,1175.488
0.0,595,1181.200032
0.0,564,1186.659957
200.0,526,1191.721927
0.0,408,1195.597866
0.0,490,1200.272464
0.0,469,1204.745147
0.0,290,1207.475909
200.0,489,1212.120459
0.0,365,1215.574172
0.0,533,1220.652403
0.0,365,1224.125672
0.0,283,1226.785369
200.0,611,1232.63094
0.0,354,1235.994756
200.0,415,1239.952992
0.0,276,1242.568491
200.0,594,1248.251504
0.0,365,1251.683559
0.0,565,1257.103481
0.0,535,1262.267187
0.0,284,1264.970385
0.0,407,1268.816907
0.0,470,1273.24443
200.0,339,1276.451897
0.0,353,1279.748197
200.0,528,1284.787535
200.0,495,1289.526921
0.0,371,1293.023291
0.0,548,1298.256574
0.0,538,1303.348701
0.0,558,1308.676256
0.0,491,1313.317556
200.0,411,1317.237071
200.0,730,1324.312366
0.0,513,1329.244108
0.0,661,1336.460094
0.0,666,1344.063074
0.0,347,1347.612357
0.0,542,1353.115499
0.0,441,1357.557678
0.0,422,1361.834425
0.0,493,1366.78353
0.0,734,1374.178334
0.0,594,1380.215311
0.0,463,1384.848019
0.0,551,1390.360122
0.0,439,1394.788574
0.0,426,1399.013271
0.0,433,1403.078862
0.0,434,1407.36573
0.0,540,1413.007851
0.0,375,1416.683485
0.0,677,1423.452241
0.0,552,1428.953526
400.0,672,1435.60751
0.0,672,1442.313985
0.0,379,1446.057372
0.0,538,1451.369365
0.0,365,1454.910547
0.0,347,1458.325319
200.0,665,1464.980196
0.0,285,1467.788285
400.0,555,1473.318342
0.0,563,1478.930858
0.0,603,1484.928229
0.0,415,1489.075129
200.0,476,1493.849444
0.0,413,1497.933393
400.0,418,1502.072027
0.0,551,1507.573402
0.0,281,1510.266641
0.0,360,1513.606603
0.0,425,1517.938668
0.0,615,1524.050807
0.0,368,1527.630415
0.0,286,1530.375953
200.0,482,1535.078871
400.0,555,1540.552929
0.0,536,1545.80717
0.0,281,1548.589576
0.0,547,1554.005695
200.0,575,1559.611596
200.0,675,1566.181568
0.0,406,1570.156677
0.0,620,1576.266481
0.0,496,1581.099024
0.0,542,1586.44358
0.0,371,1590.053267
0.0,343,1593.373061
0.0,613,1599.350628
0.0,667,1605.90358
0.0,436,1610.133492
0.0,466,1614.686355
0.0,474,1619.353702
0.0,483,1624.043094
0.0,567,1629.598863
0.0,292,1632.413351
0.0,661,1638.924412
0.0,350,1642.395074
0.0,465,1646.930694
0.0,539,1652.256384
0.0,465,1656.846026
0.0,435,1661.083392
0.0,539,1666.392847
0.0,495,1671.252261
0.0,474,1675.922966
0.0,595,1681.775587
200.0,606,1687.666473
0.0,494,1692.482698
0.0,365,1696.046998
0.0,533,1701.316342
200.0,479,1706.050803
0.0,293,1708.881819
0.0,439,1713.192571
0.0,539,1718.448488
0.0,489,1723.205499
0.0,274,1725.875057
0.0,608,1731.804024
0.0,494,1736.667643
0.0,483,1741.410091
0.0,551,1746.798002
0.0,498,1751.764077
400.0,526,1756.897322
0.0,666,1763.506876
0.0,655,1770.010875
0.0,307,1772.971802
0.0,469,1777.59402
0.0,599,1783.451665
0.0,503,1788.361619
0.0,510,1793.399107
0.0,343,1796.694916
200.0,682,1803.338659
0.0,410,1807.285963
200.0,689,1814.013849
0.0,467,1818.511486
200.0,724,1825.59343
0.0,376,1829.246626
0.0,406,1833.19334
0.0,548,1838.556482
0.0,622,1845.131828
0.0,471,1849.711168
0.0,301,1852.407044
0.0,489,1856.760654
0.0,524,1861.391557
0.0,411,1864.970981
0.0,433,1868.762836
0.0,350,1871.823647
0.0,422,1875.548681
0.0,540,1880.32191
0.0,420,1884.018021
0.0,606,1889.354744
0.0,532,1894.030234
0.0,546,1898.862306
0.0,553,1903.732277
0.0,414,1907.348602
0.0,481,1911.613192
200.0,468,1915.768076
0.0,345,1918.751095
0.0,528,1923.403647
0.0,460,1927.442841
200.0,403,1930.992344
0.0,420,1934.665517
0.0,540,1939.446725
200.0,409,1943.045098
0.0,556,1947.936013
0.0,418,1951.582258
0.0,561,1956.541988
200.0,488,1960.881378
0.0,607,1966.947646
0.0,536,1971.605157
0.0,413,1975.24509
0.0,535,1979.878098
0.0,345,1982.84773
0.0,286,1985.269146
0.0,479,1989.517228
0.0,400,1992.952991
0.0,563,1997.783333
0.0,399,2001.207282
0.0,282,2003.635284
0.0,484,2007.861176
0.0,347,2010.852953
0.0,560,2015.679407
0.0,417,2019.642192
0.0,596,2025.108191
0.0,556,2030.157969
0.0,351,2033.511751
0.0,415,2037.262716
0.0,539,2042.461806
0.0,288,2045.691166
0.0,610,2051.777881
200.0,556,2057.894517
0.0,429,2062.309704
0.0,293,2065.172045
0.0,472,2069.982177
0.0,599,2076.299276
0.0,288,2079.005036
200.0,485,2084.171215
0.0,466,2089.135932
0.0,666,2095.873905
200.0,412,2099.849269
0.0,461,2104.012132
0.0,480,2108.439287
0.0,544,2113.344164
0.0,540,2118.199175
200.0,602,2123.651587
200.0,475,2128.003943
0.0,463,2132.173787
0.0,279,2134.661132
0.0,287,2137.235245
0.0,341,2140.298051
0.0,567,2145.438298
0.0,436,2149.370777
0.0,292,2151.971818
0.0,415,2155.741732
0.0,362,2158.979071
0.0,615,2164.815455
0.0,526,2170.106582
200.0,653,2176.303463
0.0,479,2180.741095
0.0,677,2186.967438
0.0,528,2191.813445
0.0,543,2197.222893
0.0,284,2199.760501
0.0,478,2204.568139
0.0,366,2208.486833
0.0,553,2214.587511
0.0,535,2219.975097
0.0,482,2225.785494
0.0,538,2231.859213
0.0,496,2237.022427
0.0,477,2242.015082
0.0,351,2245.251848
0.0,528,2250.081378
200.0,544,2255.112904
0.0,362,2258.416352
0.0,421,2262.168045
0.0,539,2267.134053
0.0,405,2270.671967
0.0,649,2276.385139
0.0,475,2280.558494
0.0,356,2283.63202
0.0,339,2286.56972
0.0,355,2289.977334
200.0,728,2297.115296
0.0,601,2302.925123
0.0,354,2306.220586
0.0,443,2310.277927
200.0,411,2314.040219
200.0,531,2318.856623
0.0,608,2324.372712
0.0,412,2328.100046
0.0,606,2333.681358
0.0,736,2340.805639
0.0,593,2346.242189
0.0,522,2351.020451
0.0,590,2356.328631
0.0,414,2360.107432
0.0,474,2364.359919
0.0,483,2368.733761
0.0,346,2371.865014
200.0,669,2377.92108
0.0,480,2382.152085
0.0,408,2385.769926
0.0,653,2392.021243
0.0,612,2397.885978
0.0,556,2403.136694
0.0,349,2406.337004
0.0,406,2410.321835
0.0,423,2414.250272
0.0,608,2419.969082
0.0,413,2423.838162
0.0,372,2427.292945
0.0,427,2431.491673
0.0,614,2437.204771
0.0,594,2442.687445
0.0,412,2446.692662
200.0,511,2451.421208
0.0,345,2454.620118
0.0,527,2459.652352
0.0,466,2464.057452
200.0,594,2469.73758
0.0,401,2473.6355
200.0,430,2477.753379
0.0,416,2482.243461
0.0,424,2486.342802
0.0,539,2491.271831
200.0,743,2498.386136
0.0,572,2503.715521
0.0,406,2507.67257
0.0,659,2514.155931
200.0,428,2518.057551
200.0,354,2521.524999
0.0,546,2526.724776
0.0,739,2533.827378
0.0,534,2538.756838
0.0,533,2543.62945
0.0,550,2548.821992
0.0,470,2553.229708
0.0,473,2557.962046
0.0,409,2561.752765
0.0,277,2564.274617
0.0,433,2568.420906
0.0,603,2574.851828
0.0,346,2578.475952
200.0,405,2583.38682
0.0,631,2589.886977
200.0,417,2594.011094
0.0,472,2598.646409
0.0,357,2602.153612
0.0,594,2608.568958
0.0,420,2612.626676
0.0,370,2616.262801
0.0,563,2621.626057
0.0,654,2628.214968
200.0,536,2633.962867
0.0,633,2641.003031
200.0,605,2648.191798
0.0,670,2656.338816
0.0,270,2659.244621
0.0,352,2663.848929
0.0,282,2666.916703
0.0,420,2671.058568
0.0,430,2675.613092
200.0,509,2681.197097
0.0,276,2683.997125
0.0,414,2688.712654
0.0,489,2693.950946
0.0,530,2700.915296
0.0,275,2703.937452
200.0,436,2708.232238
0.0,400,2712.074702
0.0,539,2717.153772
0.0,660,2723.751173
0.0,278,2726.357802
0.0,438,2730.396052
0.0,537,2735.484053
0.0,490,2740.545523
200.0,423,2744.817143
200.0,527,2749.682303
0.0,529,2755.618236
0.0,703,2762.525623
0.0,544,2768.315177
0.0,520,2775.375026
0.0,341,2778.543784
0.0,470,2784.366975
0.0,557,2791.599715
0.0,635,2799.858783
0.0,471,2806.209423
200.0,473,2811.028193
200.0,365,2814.435289
0.0,476,2818.913878
0.0,417,2823.070088
0.0,462,2827.68844
0.0,498,2832.769149
200.0,568,2838.490319
200.0,666,2846.423867
0.0,479,2852.561878
0.0,412,2856.755568
200.0,356,2861.05623
0.0,526,2867.615259
0.0,542,2873.546449
0.0,479,2880.110805
0.0,552,2885.551304
0.0,372,2889.143316
0.0,471,2893.67957
200.0,684,2900.593539
0.0,414,2904.952741
200.0,536,2910.254369
0.0,663,2916.82553
0.0,482,2921.637842
0.0,411,2926.373209
0.0,431,2930.500602
0.0,649,2939.659681
0.0,408,2944.573463
0.0,561,2949.752751
200.0,463,2954.08228
0.0,478,2958.48142
0.0,343,2961.528201
400.0,627,2967.200297
0.0,291,2969.705784
0.0,660,2975.649773
0.0,412,2979.364597
0.0,659,2985.693943
0.0,425,2989.524383
200.0,631,2995.242465
0.0,345,2998.290189
200.0,505,3002.88185
0.0,674,3008.924357
0.0,406,3012.535089
0.0,412,3016.263107
0.0,593,3021.61482
0.0,545,3026.484957
0.0,668,3032.532374
0.0,414,3036.253442
0.0,417,3039.957455
0.0,441,3043.907964
0.0,466,3048.097525
0.0,599,3053.434616
0.0,679,3059.647951
0.0,663,3065.62325
200.0,599,3071.016712
0.0,460,3075.410475
200.0,336,3078.657806
0.0,614,3084.582945
200.0,719,3091.386829
0.0,479,3095.710812
200.0,412,3099.48534
200.0,532,3104.283605
0.0,472,3108.517089
0.0,354,3111.724637
0.0,533,3116.584461
0.0,412,3120.325133
0.0,405,3124.02464
0.0,489,3128.420623
200.0,481,3132.760298
0.0,304,3135.468896
0.0,520,3140.230876
0.0,407,3143.937728
0.0,591,3149.250477
0.0,661,3155.231984
0.0,658,3161.249928
0.0,549,3166.199816
200.0,408,3169.943737
0.0,537,3174.834077
0.0,564,3180.333973
0.0,485,3185.396748
0.0,402,3188.948227
0.0,347,3192.039545
0.0,468,3196.330485
200.0,593,3202.458354
0.0,348,3206.057026
200.0,611,3212.646821
0.0,449,3217.10988
0.0,556,3222.613163
0.0,413,3227.323211
200.0,348,3231.22148
200.0,473,3235.873034
200.0,488,3240.628508
0.0,591,3246.395505
0.0,466,3251.002757
200.0,528,3256.241807
0.0,295,3259.207002
0.0,404,3263.167698
200.0,481,3268.316999
0.0,480,3273.800705
0.0,346,3277.738532
0.0,502,3282.769664
0.0,404,3287.521513
0.0,414,3291.850076
0.0,553,3297.780709
0.0,469,3302.73883
0.0,472,3307.215849
0.0,417,3311.231662
0.0,404,3315.225533
0.0,525,3320.595824
400.0,473,3325.508383
200.0,537,3330.849163
0.0,435,3335.119852
0.0,484,3340.375118
0.0,527,3346.202863
0.0,471,3351.568405
0.0,491,3356.787757
0.0,476,3361.667659
0.0,412,3365.715273
0.0,467,3370.126113
0.0,342,3373.33682
0.0,540,3378.545785
0.0,348,3381.769285
0.0,516,3386.539001
0.0,297,3389.315045
0.0,729,3396.361409
0.0,372,3399.935804
0.0,362,3403.339523
0.0,402,3407.137798
200.0,529,3411.916087
0.0,499,3416.683334
0.0,559,3421.862535
0.0,410,3425.638961
0.0,527,3430.954457
0.0,369,3434.501094
0.0,351,3437.706483
0.0,445,3442.170671
200.0,479,3446.487121
0.0,341,3449.517163
0.0,726,3456.128326
0.0,487,3460.494127
0.0,468,3464.673339
0.0,429,3468.437304
0.0,472,3472.671659
0.0,414,3476.33133
0.0,415,3479.959016
0.0,411,3483.653702
0.0,731,3490.153536
200.0,537,3495.254071
200.0,467,3499.885202
200.0,411,3504.303063
200.0,476,3508.890127
0.0,357,3512.292118
0.0,472,3516.557529
0.0,415,3520.551067
0.0,525,3526.089414
400.0,473,3530.828772
0.0,376,3534.458385
0.0,472,3538.823122
200.0,656,3544.81619
200.0,539,3549.882937
0.0,392,3553.945704
200.0,477,3558.599762
200.0,588,3564.457136
0.0,471,3568.994903
0.0,590,3575.031853
0.0,732,3581.802178
200.0,539,3586.666022
0.0,283,3589.191083
0.0,589,3594.526924
200.0,658,3600.476581
0.0,491,3604.938206
400.0,662,3611.028877
0.0,276,3613.486061
0.0,476,3617.898252
0.0,522,3622.685578
0.0,586,3628.348513
0.0,494,3633.098281
0.0,337,3636.397172
0.0,473,3640.724682
0.0,274,3643.162176
0.0,537,3648.06791
0.0,335,3651.082696
0.0,532,3655.996439
0.0,458,3660.538369
0.0,642,3666.839766
0.0,411,3670.600488
0.0,452,3674.788617
0.0,455,3679.014183
200.0,512,3683.699247
0.0,711,3690.206159
0.0,343,3693.354405
0.0,382,3696.854308
0.0,422,3700.699146
200.0,608,3706.333476
0.0,673,3712.490515
0.0,424,3716.19961
0.0,525,3720.861763
0.0,532,3725.56263
0.0,547,3730.333711
0.0,540,3735.020487
200.0,469,3739.183494
0.0,581,3744.308034
0.0,494,3748.61366
0.0,599,3753.880845
200.0,525,3758.506442
200.0,593,3763.73221
0.0,421,3767.394233
0.0,525,3771.952487
200.0,675,3777.919064
0.0,477,3782.085401
200.0,631,3787.689623
200.0,661,3793.748763
200.0,608,3799.360828
200.0,600,3804.786066
0.0,541,3809.689226
0.0,342,3812.748056
0.0,501,3817.320311
0.0,283,3819.772322
200.0,568,3824.773118
0.0,473,3828.896091
200.0,578,3834.004453
0.0,352,3837.072415
0.0,465,3841.162036
0.0,550,3846.002932
0.0,538,3850.707335
0.0,425,3854.414022
0.0,542,3859.22376
0.0,597,3864.47445
0.0,286,3866.920296
0.0,497,3871.306761
200.0,483,3875.562596
0.0,533,3880.23334
200.0,545,3885.012239
0.0,639,3890.640117
0.0,479,3894.811815
0.0,369,3898.057111
0.0,589,3903.236775
0.0,410,3906.829049
0.0,534,3911.486085
0.0,411,3915.092064
0.0,537,3919.922163
0.0,342,3922.913258
0.0,367,3926.1223
200.0,523,3930.740651
0.0,401,3934.79224
0.0,464,3939.9752
0.0,344,3943.107742
200.0,478,3947.463874
200.0,538,3952.127959
0.0,531,3957.217801
0.0,478,3961.509044
0.0,401,3965.115803
0.0,474,3969.440021
0.0,531,3974.578964
0.0,529,3979.339304
0.0,312,3982.026071
0.0,311,3984.715423
0.0,279,3987.120101
0.0,596,3992.313156
0.0,349,3995.340757
0.0,483,3999.537481
0.0,530,4004.152584
0.0,539,4008.846374
0.0,524,4013.41061
0.0,537,4018.131828
200.0,434,4022.299239
200.0,525,4026.966057
0.0,414,4030.695771
0.0,504,4035.440883
0.0,354,4038.64161
200.0,540,4043.573506
0.0,534,4048.24732
0.0,353,4051.408854
200.0,500,4056.439124
0.0,406,4060.037314
200.0,406,4064.161377
0.0,554,4069.430939
0.0,450,4073.664047
200.0,530,4078.491847
0.0,532,4083.260412
0.0,297,4085.953593
0.0,493,4090.361475
200.0,484,4094.656525
0.0,401,4098.195868
0.0,300,4100.826667
200.0,424,4104.649367
0.0,349,4107.71521
0.0,412,4111.432424
0.0,406,4115.017909
0.0,408,4118.622937
0.0,519,4123.397611
0.0,473,4127.650656
0.0,414,4131.246633
0.0,667,4137.131492
0.0,517,4141.6692
0.0,481,4145.914294
200.0,600,4151.310932
0.0,507,4155.851424
0.0,541,4160.807068
0.0,578,4166.055416
400.0,605,4171.455783
0.0,346,4174.605941
0.0,405,4178.283187
0.0,524,4182.876917
0.0,476,4187.155591
400.0,612,4192.743387
0.0,409,4196.434357
200.0,542,4201.368164
0.0,468,4205.707913
0.0,495,4210.295276
0.0,407,4214.045185
0.0,412,4218.121322
0.0,494,4223.021269
0.0,397,4226.815139
200.0,486,4231.37587
0.0,342,4234.563264
0.0,547,4239.849833
0.0,669,4246.04214
0.0,395,4249.682847
0.0,423,4253.770703
0.0,519,4258.561563
0.0,409,4262.295417
0.0,423,4266.178081
0.0,561,4271.351337
0.0,449,4275.37378
0.0,709,4281.957182
0.0,798,4289.269977
0.0,591,4294.75575
0.0,431,4298.792084
0.0,606,4304.236277
0.0,415,4308.1952
0.0,469,4312.670882
0.0,534,4317.860831
0.0,276,4320.455607
200.0,404,4324.39949
0.0,366,4327.754759
200.0,529,4332.685386
0.0,350,4335.938492
0.0,407,4339.593913
0.0,479,4344.005763
0.0,544,4348.996418
0.0,528,4353.863693
200.0,424,4357.874806
200.0,664,4364.150835
0.0,523,4369.079944
0.0,564,4374.331363
0.0,399,4377.866174
0.0,362,4381.291951
0.0,456,4385.540346
0.0,596,4391.138589
0.0,532,4396.22254
0.0,390,4399.948836
200.0,350,4403.138209
0.0,579,4408.648287
0.0,438,4413.120986
0.0,598,4419.072839
0.0,458,4423.24556
0.0,534,4428.181365
0.0,521,4433.247503
0.0,481,4438.075386
0.0,488,4442.68451
0.0,542,4447.840603
0.0,497,4452.864939
0.0,360,4456.720339
0.0,345,4461.215315
0.0,287,4464.268147
0.0,534,4469.628029
0.0,489,4474.355453
200.0,568,4480.265263
0.0,501,4485.336081
200.0,710,4492.423021
0.0,485,4497.269517
0.0,462,4502.38938
0.0,464,4507.123445
0.0,407,4511.010612
200.0,535,4516.038027
0.0,607,4522.018317
0.0,459,4526.585167
0.0,549,4531.944021
0.0,409,4536.120056
0.0,428,4540.254448
0.0,663,4546.686202
0.0,339,4549.870392
0.0,441,4554.208365
0.0,465,4558.899632
0.0,634,4565.808167
0.0,591,4571.506643
0.0,545,4576.617173
0.0,354,4579.927385
0.0,534,4585.041647
0.0,483,4589.719535
0.0,342,4592.959591
400.0,546,4598.314376
0.0,368,4601.786671
0.0,594,4607.504727
0.0,393,4611.317205
0.0,493,4616.081354
0.0,345,4619.361331
200.0,606,4625.070096
0.0,494,4629.770575
0.0,481,4634.334251
0.0,482,4638.999239
0.0,540,4644.099514
0.0,652,4650.760671
400.0,682,4658.085163
0.0,346,4662.324821
0.0,411,4666.508674
0.0,494,4671.534553
0.0,351,4675.031529
0.0,523,4680.207014
200.0,530,4685.68749
0.0,537,4690.821652
0.0,614,4697.472416
200.0,648,4705.311341
0.0,533,4712.720159
0.0,303,4716.394907
0.0,397,4720.874941
0.0,634,4727.59837
0.0,497,4732.685722
200.0,525,4738.295892
200.0,534,4743.456313
0.0,361,4746.680254
0.0,600,4752.251445
0.0,432,4756.175927
0.0,614,4761.672127
0.0,410,4765.377469
0.0,341,4768.417729
200.0,546,4773.280835
0.0,288,4775.841792
0.0,478,4780.314098
0.0,483,4785.355057
0.0,499,4790.112328
0.0,562,4795.645204
0.0,527,4801.082458
200.0,651,4807.446938
0.0,569,4813.11479
0.0,519,4818.639555
0.0,593,4824.417137
0.0,295,4827.589208
600.0,734,4837.914099
0.0,477,4844.044042
200.0,663,4852.537002
0.0,645,4860.023831
0.0,368,4863.769964
0.0,414,4867.711018
0.0,525,4873.140188
0.0,473,4877.814852
0.0,559,4883.299266
0.0,286,4885.900296
200.0,404,4889.589923
0.0,375,4893.020842
0.0,535,4897.920442
200.0,591,4903.300328
0.0,475,4907.639868
0.0,622,4913.387866
0.0,350,4916.558085
200.0,513,4921.253867
200.0,585,4926.694539
0.0,473,4930.993399
0.0,400,4934.624967
200.0,662,4940.500632
0.0,592,4945.662366
0.0,587,4950.89307
0.0,396,4954.446495
0.0,340,4957.610157
200.0,590,4963.03965
200.0,501,4967.558823
0.0,405,4971.210328
0.0,417,4974.991462
0.0,480,4979.252223
0.0,281,4981.675879
0.0,544,4986.450969
0.0,405,4990.003562
200.0,472,4994.154242
200.0,533,4998.867194
